lat,lon,HFO_s,DRO_s,ECO_S_s
32.045,131.25,3.3,0,5.0
46.591,24.11,3.9,2.5,4.3
27.5,80.284,4.0,1.3,5.0
70.682,109.924,0,2.6,5.0
-31.136,135.464,1.6,2.6,1.4
-65.682,-62.202,0,0,0
49.773,36.563,3.1,1.5,4.7
26.136,20.225,0,2.6,5.0
35.227,106.111,2.9,1.7,5.0
4.318,21.163,2.0,1.0,1.9
-80.227,-148.0,0,0,0
14.773,-6.806,2.5,3.7,5.0
-25.227,27.075,2.3,1.9,3.6
44.318,127.394,3.2,3.0,5.0
36.136,106.427,3.1,2.9,5.0
25.227,100.279,4.1,1.0,5.0
-26.591,21.58,1.0,2.3,5.0
37.955,96.613,1.6,2.1,5.0
15.682,16.963,2.5,5.0,5.0
57.955,96.2,2.3,3.1,5.0
10.682,-6.462,2.3,0.9,4.2
11.136,2.314,3.7,2.9,1.6
43.409,66.875,2.0,2.3,5.0
27.5,-97.67,3.3,1.4,5.0
64.318,-143.372,1.6,1.4,1.6
26.136,110.73,4.6,1.2,5.0
37.045,110.047,3.0,3.6,5.0
80.227,-70.667,0,2.9,5.0
20.682,58.221,2.0,3.4,5.0
-74.773,141.923,0,0,0
54.773,31.441,2.0,1.8,4.8
24.318,100.83,2.5,1.0,5.0
47.5,-69.851,1.0,1.6,5.0
59.318,68.889,1.6,3.1,3.5
61.136,133.003,2.5,3.1,3.9
-10.227,-76.748,3.4,2.9,2.1
47.955,4.407,2.8,1.8,4.6
6.136,8.441,3.1,0.9,2.3
-6.591,28.325,0,1.3,1.3
67.045,-66.99,0,5.0,0.4
37.045,102.085,2.9,2.4,5.0
74.773,-34.615,,,
42.5,-120.308,2.0,2.5,4.5
-32.5,121.345,0,0.8,3.5
75.227,-49.901,,,
35.227,113.333,3.1,2.7,5.0
16.136,49.606,2.6,1.7,5.0
32.5,59.462,2.6,2.7,5.0
-17.955,-55.55,1.0,1.0,5.0
17.955,97.51,3.3,1.4,3.8
55.227,-93.982,0,2.0,5.0
-85.227,38.182,0,0,0
20.227,103.548,3.9,1.0,2.9
32.045,-100.179,2.6,2.1,5.0
-18.409,-56.175,1.6,1.0,5.0
20.682,44.151,1.6,1.8,5.0
26.136,57.64,2.8,1.0,4.4
42.045,42.479,3.3,1.7,5.0
-22.5,126.467,0,3.2,1.9
9.773,33.606,2.9,1.6,5.0
32.955,72.973,4.1,2.3,3.3
15.682,-16.492,2.8,2.6,3.3
62.5,138.689,2.5,3.1,3.9
67.045,73.981,0,2.0,5.0
